date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:04	35625/35625	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jul%202022%2022:24:36%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing	C:/My%20Web%20Sites/plantilla_v3/demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing.html	(from )
16:45:04	2149/2149	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Apr%202024%2021:44:57%20GMT	https://demos.creative-tim.com/robots.txt		(from )
16:45:05	373/373	---M--	200	added ('OK')	image/png	etag:%2262d1e924-329%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/plantilla_v3/demos.creative-tim.com/argon-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing)
16:45:05	373/373	---M--	200	added ('OK')	image/png	etag:%2262d1e924-329%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/favicon.png	C:/My%20Web%20Sites/plantilla_v3/demos.creative-tim.com/argon-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing)
16:45:05	6612/6612	---MCZ	200	added ('OK')	text/css	etag:W/%2262d1e924-2337%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-icons.css	C:/My%20Web%20Sites/plantilla_v3/demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing)
16:45:06	1113/1113	---MCZ	200	added ('OK')	text/css	etag:W/%2262d1e924-8cd%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-svg.css	C:/My%20Web%20Sites/plantilla_v3/demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing)
16:45:06	352246/352246	---M--	200	added ('OK')	image/jpeg	etag:%2246fd1d0355e259b321f6e5841f26a854%22	https://s3.amazonaws.com/creativetim_bucket/products/137/original/argon-dashboard-pro.jpg	C:/My%20Web%20Sites/plantilla_v3/s3.amazonaws.com/creativetim_bucket/products/137/original/argon-dashboard-pro.jpg	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing)
16:45:06	11892/11892	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2002%20Apr%202024%2021:44:59%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/My%20Web%20Sites/plantilla_v3/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing)
16:45:06	500400/500400	---M-Z	200	added ('OK')	text/css	etag:W/%2262d1e924-7a2b0%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon-dashboard.min.css?v=2.0.5	C:/My%20Web%20Sites/plantilla_v3/demos.creative-tim.com/argon-dashboard-pro/assets/css/argon-dashboard.min9c7f.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing)
16:45:07	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/plantilla_v3/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing)
